Project,Bug,Multiple Classes Modified,Compiles,Other Issues
Lang,1,false,true,
Lang,3,false,true,
Lang,4,false,true,
Lang,5,false,true,
Lang,6,false,true,
Lang,7,false,true,
Lang,8,false,true,
Lang,9,false,true,
Lang,10,false,true,
Lang,11,false,true,
Lang,12,false,true,
Lang,13,false,true,
Lang,14,false,true,
Lang,15,false,true,
Lang,16,false,true,
Lang,17,false,false,
Lang,19,false,false,
Lang,20,false,false,
Lang,21,false,true,
Lang,22,false,true,
Lang,23,false,true,
Lang,24,false,true,
Lang,26,false,true,
Lang,27,false,true,
Lang,28,false,true,
Lang,29,false,true,
Lang,30,false,true,
Lang,31,false,true,
Lang,32,false,true,
Lang,33,false,true,
Lang,34,false,true,
Lang,35,false,true,
Lang,36,false,true,
Lang,37,false,true,
Lang,38,false,true,
Lang,39,false,true,
Lang,40,false,true,
Lang,41,false,true,
Lang,42,false,false,
Lang,43,false,false,
Lang,44,false,false,
Lang,45,false,false,
Lang,46,false,false,
Lang,47,false,false,
Lang,49,false,false,
Lang,50,false,false,
Lang,51,false,false,
Lang,52,false,false,
Lang,53,false,false,
Lang,54,false,false,
Lang,55,false,false,
Lang,56,false,false,
Lang,57,false,false,
Lang,58,false,false,
Lang,59,false,false,
Lang,60,false,false,
Lang,61,false,false,
Lang,62,false,false,
Lang,63,false,false,
Lang,64,false,false,
Lang,65,false,false,
Time,1,true,,
Time,2,true,,
Time,3,false,true,
Time,4,false,true,
Time,5,false,true,
Time,6,false,true,
Time,7,false,true,
Time,8,false,true,
Time,9,false,true,
Time,10,false,true,
Time,11,false,true,
Time,12,true,,
Time,13,false,true,
Time,14,false,true,
Time,15,false,true,
Time,16,false,true,
Time,17,false,true,
Time,18,false,true,
Time,19,false,true,
Time,20,false,true,
Time,22,false,true,
Time,23,false,true,
Time,24,false,true,
Time,25,false,true,
Time,26,true,,
Time,27,false,true,
JacksonCore,1,true,,
JacksonCore,2,true,,
JacksonCore,3,false,true,
JacksonCore,4,false,true,
JacksonCore,5,false,true,
JacksonCore,6,false,true,
JacksonCore,7,false,true,
JacksonCore,8,false,true,
JacksonCore,9,true,,
JacksonCore,10,false,true,
JacksonCore,11,false,true,
JacksonCore,12,true,,
JacksonCore,13,false,true,
JacksonCore,14,false,true,
JacksonCore,15,false,true,
JacksonCore,16,false,true,
JacksonCore,17,false,false,
JacksonCore,18,true,,
JacksonCore,19,true,,
JacksonCore,20,false,false,
JacksonCore,21,false,false,
JacksonCore,22,false,false,
JacksonCore,23,false,false,
JacksonCore,24,true,,
JacksonCore,25,false,false,
JacksonCore,26,false,false,
Gson,1,false,true,"Mutation testing fails, high reprompt rate"
Gson,2,false,true,Too High reprompt rate
Gson,3,false,true,
Gson,4,true,,
Gson,5,false,true,
Gson,6,false,true,
Gson,7,false,true,
Gson,8,false,true,
Gson,9,true,,
Gson,10,false,true,
Gson,11,false,true,
Gson,12,false,true,
Gson,13,false,true,
Gson,14,false,true,Too High reprompt rate
Gson,15,false,true,
Gson,16,false,true,Too High reprompt rate
Gson,17,false,true,Too High reprompt rate
Gson,18,false,true,Too high reprompt rate
